Predicate,no predicates,GT,GT Pred CLS,GT Neg,Baseline,Base Pred CLS,Base Neg,Base BLEURT,Base BART,Base BERT,Base BLEU4,Base Meteor,Base Other COCO,After Constrain,Cons Pred CLS,Cons Neg,Cons BLEURT,Cons BART,Cons BERT,Cons BLEU4,Cons Meteor,Cons Other COCO,Cons-Baseline CLS Gap,GT-Baseline CLS Gap,GT-Cons CLS Gap,Cons-Base BLEURT gap,Cons-Base BART gap,Cons-Baseline BERT Gap,Cons-Baseline BLEU Gap,Cons-Baseline METEOR Gap
"{'predicate: death place, subject: abraham a. ribicoff, object: new york city, sentence: ', 'predicate: ethnic group, subject: united states, object: native americans in the united states, sentence: ', 'predicate: spouse, subject: abraham a. ribicoff, object: casey ribicoff, sentence: ', 'predicate: birth place, subject: casey ribicoff, object: chicago, sentence: ', 'predicate: nationality, subject: abraham a. ribicoff, object: united states, sentence: '}",5,"Born in Chicago, Casey Ribicoff, was Abraham A. Ribcoff's wife. U.S. national, Abraham A Ribicoff died in New York City, in the United States, the country where one of the ethnic groups is, Native Americans.",0.873151172,"[""predicate: spouse, subject: abraham a. ribicoff, object: casey ribicoff, sentence: born in chicago, casey ribicoff was abraham a. ribcoff's wife. an american, abraham a ribicoff died in new york city, in a country where native americans are one of the ethnic groups there."", ""predicate: spouse, subject: abraham a. ribicoff, object: casey ribicoff, sentence: born in chicago, casey ribicoff was abraham a. ribcoff's wife. american abraham a ribicoff died in new york city, in the united states, where native americans are one of the ethnic groups.""]",abraham a. ribicoff was born in chicago and died in new york city. he was a united states national and his spouse was casey ribicoff. native americans are an ethnic group in the u.s,0.999916315,,0.493193865,-2.378228188,0.90306425,0.232458113,0.327899326,"{'image_id': 'inst-1563', 'Bleu_1': 0.7352941176038063, 'Bleu_2': 0.538201931470659, 'Bleu_3': 0.3563719471801151, 'Bleu_4': 0.2324581129428079, 'METEOR': 0.32789932557421536, 'ROUGE_L': 0.41903827281648676, 'CIDEr': 2.7790977187989574}",american abraham a. ribicoff was born in chicago and died in new york city. he was married to casey ribicoff. native americans are an ethnic group in the u.s,0.999839652,,0.46492964,-2.261001348,0.90482664,0.231854503,0.335909441,"{'image_id': 'inst-1563', 'Bleu_1': 0.6608790665393848, 'Bleu_2': 0.5170140136044057, 'Bleu_3': 0.3506733219724964, 'Bleu_4': 0.2318545033816552, 'METEOR': 0.33590944095373376, 'ROUGE_L': 0.3826450601150026, 'CIDEr': 2.131061334605309}",-7.67E-05,-0.126765143,-0.12668848,-0.028264225,0.117226839,0.00176239,-0.00060361,0.008010115
"{'predicate: region, subject: arròs negre, object: catalonia, sentence: ', 'predicate: country, subject: arròs negre, object: spain, sentence: ', 'predicate: demonym, subject: spain, object: spaniards, sentence: ', 'predicate: leader name, subject: catalonia, object: parliament of catalonia, sentence: ', 'predicate: leader name, subject: spain, object: felipe vi of spain, sentence: '}",5,Arròs negre is from the Catalonia region of Spain. The region is led by the Parliament of Catalonia. Felipe VI is the head of state of the Spaniards.,0.999926817,,arrs negre is from the catalonia region of spain. the leader of catalonia is the parliament of catalonia and the leader of spain is felipe vi. spaniards is the name given to people from spain,0.999926066,,0.60254997,-2.032821894,0.9208252,0.387556965,0.375812096,"{'image_id': 'inst-1522', 'Bleu_1': 0.7714285714065306, 'Bleu_2': 0.5833833511800348, 'Bleu_3': 0.46895521952411506, 'Bleu_4': 0.387556964692922, 'METEOR': 0.3758120957418276, 'ROUGE_L': 0.5831120552310143, 'CIDEr': 2.0456887462040045}","arrs negre is a traditional dish from catalonia, spain. the leader of catalonia is the parliament of catalonia and the leader of spain is felipe vi. spaniards are from spain",0.999928808,,0.479536831,-2.230768442,0.8967149,0.163723754,0.297093494,"{'image_id': 'inst-1522', 'Bleu_1': 0.6448107336116833, 'Bleu_2': 0.43994678006647225, 'Bleu_3': 0.2717037771254314, 'Bleu_4': 0.16372375445186058, 'METEOR': 0.29709349353389014, 'ROUGE_L': 0.48577929465301484, 'CIDEr': 1.9271409809005986}",2.74E-06,7.51E-07,-1.99E-06,-0.123013139,-0.197946548,-0.024110258,-0.22383321,-0.078718602
"{'predicate: capital, subject: united kingdom, object: london, sentence: ', 'predicate: leader name, subject: london, object: boris johnson, sentence: ', 'predicate: demonym, subject: united kingdom, object: british people, sentence: ', 'predicate: leader name, subject: united kingdom, object: elizabeth ii, sentence: ', 'predicate: location, subject: 20 fenchurch street, object: united kingdom, sentence: '}",5,"Boris Johnson led London is the capital of the United Kingdom (led by Elizabeth II), which is home to the British people and 20 Fenchurch Street.",0.999852777,,"20 fenchurch street is located in the united kingdom, the capital of which is london. british people inhabit the uk, the leader of which, is elizabeth ii. boris johnson is also a leader in london",0.999930072,,0.48142451,-2.712483883,0.89750093,2.63E-05,0.325086275,"{'image_id': 'inst-1475', 'Bleu_1': 0.5714285714122449, 'Bleu_2': 0.4099600308335085, 'Bleu_3': 0.24814000293285274, 'Bleu_4': 2.628664092247579e-05, 'METEOR': 0.3250862754046853, 'ROUGE_L': 0.2591609134360064, 'CIDEr': 1.2529109389699302}","20 fenchurch street is located in the united kingdom, the capital of which is london. british people inhabit the uk, the leader of which, is elizabeth ii. boris johnson is the leader of london",0.999930215,,0.48184067,-2.643870115,0.89747775,2.77E-05,0.325901709,"{'image_id': 'inst-1475', 'Bleu_1': 0.588235294100346, 'Bleu_2': 0.4428074427568266, 'Bleu_3': 0.2639167979864979, 'Bleu_4': 2.774979962981135e-05, 'METEOR': 0.32590170920586764, 'ROUGE_L': 0.2954790096878364, 'CIDEr': 1.5230784849533252}",1.43E-07,-7.73E-05,-7.74E-05,0.00041616,0.068613768,-2.32E-05,1.46E-06,0.000815434
"{'predicate: ethnic group, subject: united states, object: african americans, sentence: ', 'predicate: death place, subject: abraham a. ribicoff, object: new york, sentence: ', 'predicate: spouse, subject: abraham a. ribicoff, object: casey ribicoff, sentence: ', 'predicate: birth place, subject: casey ribicoff, object: chicago, sentence: ', 'predicate: nationality, subject: abraham a. ribicoff, object: united states, sentence: '}",5,Abraham A. Ribicoff was a national of the United States where the African Americans are an ethnic group. He was married to Chicago born Casey Ribicoff and later died in New York.,0.999419336,,"abraham a. ribicoff was born in chicago and died in new york. he was a national of the united states, where african americans are an ethnic group. casey ribicoff was the wife of abraham a. ribicoff",0.999903965,,0.601621985,-1.500276685,0.9548578,0.649220879,0.470562856,"{'image_id': 'inst-1565', 'Bleu_1': 0.8915541039737888, 'Bleu_2': 0.8178804811885498, 'Bleu_3': 0.7379361338513097, 'Bleu_4': 0.6492208789805082, 'METEOR': 0.47056285574870976, 'ROUGE_L': 0.5648148148148148, 'CIDEr': 3.2162900117269517}",american abraham a ribicoff was married to casey ribicoff who was born in chicago. he died in new york. african americans are an ethnic group in the u.s,0.999832785,,0.492056429,-2.290100336,0.92893773,0.395310979,0.361955576,"{'image_id': 'inst-1565', 'Bleu_1': 0.7739981247216623, 'Bleu_2': 0.6499672860214429, 'Bleu_3': 0.5203024369149243, 'Bleu_4': 0.39531097943986593, 'METEOR': 0.36195557634783904, 'ROUGE_L': 0.3804573804573805, 'CIDEr': 2.0427856581427237}",-7.12E-05,-0.000484629,-0.00041345,-0.109565556,-0.789823651,-0.025920093,-0.2539099,-0.108607279
"{'predicate: ground, subject: a.c. chievo verona, object: verona, sentence: '}",1,A.C. Chievo Verona is playing in his ground at Verona.,0.999892294,,verona is the home to a.c. chievo verona,0.999757826,,0.493957758,-1.982837677,0.9218781,5.47E-05,0.351658647,"{'image_id': 'inst-412', 'Bleu_1': 0.6249999999218752, 'Bleu_2': 0.5175491694374511, 'Bleu_3': 0.3547458529412143, 'Bleu_4': 5.466325568778341e-05, 'METEOR': 0.3516586468876016, 'ROUGE_L': 0.43990384615384615, 'CIDEr': 3.046489242472126}",verona is the home to a.c. chievo verona,0.999757826,,0.493957758,-1.982837915,0.9218781,5.47E-05,0.351658647,"{'image_id': 'inst-412', 'Bleu_1': 0.6249999999218752, 'Bleu_2': 0.5175491694374511, 'Bleu_3': 0.3547458529412143, 'Bleu_4': 5.466325568778341e-05, 'METEOR': 0.3516586468876016, 'ROUGE_L': 0.43990384615384615, 'CIDEr': 3.046489242472126}",0,0.000134468,0.000134468,0,-2.38E-07,0,0,0
"{'predicate: preceded by, subject: aenir, object: castle (novel), sentence: ', 'predicate: preceded by, subject: above the veil, object: aenir, sentence: ', 'predicate: followed by, subject: above the veil, object: into battle (novel), sentence: '}",3,"These novels were published in the following order: Castle, Aenir, Above the Veil and Into Battle.",0.999892281,,above the veil is followed by into battle and aenir. aenir was preceded by castle,0.99979951,,0.497214854,-3.735976458,0.9028973,4.37E-05,0.386909639,"{'image_id': 'inst-1129', 'Bleu_1': 0.7999999998933335, 'Bleu_2': 0.5345224837523065, 'Bleu_3': 0.35291723359715754, 'Bleu_4': 4.3748114306066825e-05, 'METEOR': 0.3869096392097047, 'ROUGE_L': 0.4, 'CIDEr': 2.1727495168673054}",above the veil is followed by into battle and aenir. aenir was preceded by castle,0.99979951,,0.497214854,-3.735976458,0.9028973,4.37E-05,0.386909639,"{'image_id': 'inst-1129', 'Bleu_1': 0.7999999998933335, 'Bleu_2': 0.5345224837523065, 'Bleu_3': 0.35291723359715754, 'Bleu_4': 4.3748114306066825e-05, 'METEOR': 0.3869096392097047, 'ROUGE_L': 0.4, 'CIDEr': 2.1727495168673054}",0,9.28E-05,9.28E-05,0,0,0,0,0
"{'predicate: country, subject: albuquerque, new mexico, object: united states, sentence: ', 'predicate: is part of, subject: united states house of representatives, object: united states congress, sentence: ', 'predicate: leader title, subject: albuquerque, new mexico, object: united states house of representatives, sentence: ', 'predicate: language, subject: united states, object: english language, sentence: '}",4,"The English speaking United States is home to the U.S. Congress' House of Representatives and Albuquerque, New Mexico.",0.999693642,,"albuquerque, new mexico, is in the united states, where english is spoken. albuquerque is led by the united states house of representatives, which is part of the united states congress",0.999876067,,0.66196847,-1.913553834,0.9258919,0.60517139,0.382421509,"{'image_id': 'inst-1345', 'Bleu_1': 0.8060134170146042, 'Bleu_2': 0.7513521658305994, 'Bleu_3': 0.6782516380058714, 'Bleu_4': 0.605171390066523, 'METEOR': 0.38242150852415085, 'ROUGE_L': 0.42508710801393734, 'CIDEr': 2.6294847655996874}","albuquerque in new mexico, united states is led by the united states house of representatives, which is part of the united states congress. english is spoken in the u.s",0.999872133,,0.504796803,-2.332063913,0.9178251,0.50914062,0.418692149,"{'image_id': 'inst-1345', 'Bleu_1': 0.8275862068680143, 'Bleu_2': 0.7493839834426554, 'Bleu_3': 0.6296155300448992, 'Bleu_4': 0.5091406196954965, 'METEOR': 0.41869214856861037, 'ROUGE_L': 0.5279861511829198, 'CIDEr': 2.5415975036370226}",-3.93E-06,-0.000182425,-0.000178491,-0.157171667,-0.418510079,-0.008066773,-0.09603077,0.03627064
"{'predicate: capital, subject: united kingdom, object: london, sentence: ', 'predicate: commander, subject: gulf war, object: colin powell, sentence: ', 'predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: ', 'predicate: battles, subject: adam holloway, object: gulf war, sentence: ', 'predicate: nationality, subject: adam holloway, object: united kingdom, sentence: '}",5,"Colin Powell was a commander in the Gulf War, a conflict that Adam Holloway was involved in. Adam Holloway, served in the Grenadier Guards and is a national of the United Kingdom, the capital of which, is London.",0.799289044,"['predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: colin powell was a commander in the gulf war, a conflict that adam holloway was involved in. adam holloway, served in the grenadier guards and is a national of the united kingdom, the capital of which, is london.', 'predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: adam holloway is from london. the capital of u.k., and was involved in gulf war battles with his commander colin powell. he served in the grenadier guards.', 'predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: colin powell was the commander in the gulf war, a war adam holloway fought in. adam holloway served in the grenadier guards and is a national of the united kingdom, where the capital is london.']","adam holloway, a united kingdom national, was in the grenadier guards in the military and fought in the gulf war. colin powell was a commander in the gulf war. the capital of the united kingdom is london",0.80024634,"['predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: adam holloway, a united kingdom national, was in the grenadier guards in the military and fought in the gulf war. colin powell was a commander in the gulf war. the capital of the united kingdom is london']",0.575550973,-2.358712673,0.91919625,0.423005629,0.393300386,"{'image_id': 'inst-1568', 'Bleu_1': 0.8154968372369146, 'Bleu_2': 0.6472437214107337, 'Bleu_3': 0.5190036376929253, 'Bleu_4': 0.42300562903888395, 'METEOR': 0.3933003857288736, 'ROUGE_L': 0.4301454385191715, 'CIDEr': 2.5911632311712625}","adam holloway, a united kingdom national, was in the grenadier guards in the military and fought in the gulf war. colin powell was a commander in the gulf war. london is the capital of the uk",0.800160263,"['predicate: military branch, subject: adam holloway, object: grenadier guards, sentence: adam holloway, a united kingdom national, was in the grenadier guards in the military and fought in the gulf war. colin powell was a commander in the gulf war. london is the capital of the uk']",0.512084246,-2.546324968,0.9171561,0.401916942,0.376196955,"{'image_id': 'inst-1568', 'Bleu_1': 0.8611111110871914, 'Bleu_2': 0.6467255741273883, 'Bleu_3': 0.4973403752166308, 'Bleu_4': 0.40191694190443417, 'METEOR': 0.37619695531077246, 'ROUGE_L': 0.38706957756478516, 'CIDEr': 2.600745840818601}",-8.61E-05,-0.000957295,-0.000871219,-0.063466728,-0.187612295,-0.002040148,-0.021088687,-0.01710343
"{'predicate: ethnic group, subject: united states, object: african americans, sentence: ', 'predicate: is part of, subject: albany, oregon, object: oregon, sentence: ', 'predicate: demonym, subject: united states, object: americans, sentence: ', 'predicate: country, subject: albany, oregon, object: united states, sentence: ', 'predicate: capital, subject: oregon, object: salem, oregon, sentence: '}",5,"Salem is the capital of Oregon, the state where Albany is located, in the United States. The country where Americans live and where African Americans are one of the ethnic groups.",0.999912393,,"albany is part of oregon, u.s. salem is the capital of oregon. americans live in the u.s., where african americans are an ethnic group",0.999917626,,0.514572501,-2.152039289,0.9051725,0.279753092,0.322917457,"{'image_id': 'inst-1504', 'Bleu_1': 0.5913888543631435, 'Bleu_2': 0.45965753131908127, 'Bleu_3': 0.3504634259276631, 'Bleu_4': 0.2797530916114589, 'METEOR': 0.32291745736583183, 'ROUGE_L': 0.46212121212121215, 'CIDEr': 1.0407355297092684}","albany is part of oregon, u.s. salem is the capital of oregon. americans live in the u.s., where african americans are an ethnic group",0.999917626,,0.514572501,-2.152039289,0.90517247,0.279753092,0.322917457,"{'image_id': 'inst-1504', 'Bleu_1': 0.5913888543631435, 'Bleu_2': 0.45965753131908127, 'Bleu_3': 0.3504634259276631, 'Bleu_4': 0.2797530916114589, 'METEOR': 0.32291745736583183, 'ROUGE_L': 0.46212121212121215, 'CIDEr': 1.0407355297092684}",0,-5.23E-06,-5.23E-06,0,0,-5.96E-08,0,0
"{'predicate: city, subject: st. vincent–st. mary high school, object: akron, ohio, sentence: ', 'predicate: is part of, subject: akron, ohio, object: summit county, ohio, sentence: ', 'predicate: ground, subject: akron summit assault, object: st. vincent–st. mary high school, sentence: ', 'predicate: country, subject: akron, ohio, object: united states, sentence: ', 'predicate: leader, subject: akron, ohio, object: dan horrigan, sentence: '}",5,"Akron, Ohio is located in the United States, is part of the Summit County and has Dan Horrigan as a leader. Akron is also home to St Vincent-St Mary High School which is the ground of Akron Summit Assault.",0.999860299,,"akron summit assault's ground is st. vincent-st. mary high school in akron, summit county, ohio, united states. dan horrigan is the leader of akron, ohio",0.999785209,,0.516488612,-2.271596909,0.9217602,0.429070353,0.387721989,"{'image_id': 'inst-1580', 'Bleu_1': 0.734583591522667, 'Bleu_2': 0.6177494241475086, 'Bleu_3': 0.5262875404185136, 'Bleu_4': 0.42907035335725097, 'METEOR': 0.3877219892057504, 'ROUGE_L': 0.3982589771490752, 'CIDEr': 1.04152176199899}","akron summit assault's ground is st. vincent-st. mary high school in akron, summit county, ohio, united states. dan horrigan is the leader of akron, ohio",0.999785209,,0.516488612,-2.271596909,0.9217602,0.429070353,0.387721989,"{'image_id': 'inst-1580', 'Bleu_1': 0.734583591522667, 'Bleu_2': 0.6177494241475086, 'Bleu_3': 0.5262875404185136, 'Bleu_4': 0.42907035335725097, 'METEOR': 0.3877219892057504, 'ROUGE_L': 0.3982589771490752, 'CIDEr': 1.04152176199899}",0,7.51E-05,7.51E-05,0,0,0,0,0
